Source	Scale	Class	Precision	Recall_Sensitivity	Specificity	F1	Support
GOLD	local_scale	ENVO:00002131	0.8695652173913043	0.9090909090909091	0.9963325183374083	0.8888888888888888	22
GOLD	local_scale	ENVO:00002132	0.0	0.0	0.99880810488677	0.0	1
GOLD	local_scale	ENVO:00002168	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:00002169	1.0	0.3333333333333333	1.0	0.5	3
GOLD	local_scale	ENVO:00005801	0.5	0.25806451612903225	0.9901112484548825	0.3404255319148936	31
GOLD	local_scale	ENVO:00012408	0.0	0.0	0.99880810488677	0.0	1
GOLD	local_scale	ENVO:01000044	0.9166666666666666	1.0	0.9987937273823885	0.9565217391304348	11
GOLD	local_scale	ENVO:01000059	0.0	0.0	0.9976190476190476	0.0	0
GOLD	local_scale	ENVO:01000105	0.36363636363636365	0.6666666666666666	0.9916067146282974	0.47058823529411764	6
GOLD	local_scale	ENVO:01000159	0.0	0.0	0.9988066825775657	0.0	2
GOLD	local_scale	ENVO:01000333	0.0	0.0	1.0	0.0	3
GOLD	local_scale	ENVO:01000338	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:01000341	0.8571428571428571	0.75	0.9975728155339806	0.8	16
GOLD	local_scale	ENVO:01000349	0.0	0.0	1.0	0.0	2
GOLD	local_scale	ENVO:01000352	1.0	0.3333333333333333	1.0	0.5	3
GOLD	local_scale	ENVO:01000433	0.0	0.0	0.998805256869773	0.0	3
GOLD	local_scale	ENVO:01000620	0.0	0.0	1.0	0.0	1
GOLD	local_scale	ENVO:01000621	0.0	0.0	1.0	0.0	1
GOLD	local_scale	ENVO:01000628	0.0	0.0	1.0	0.0	1
GOLD	local_scale	ENVO:01000791	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:01000816	0.6222222222222222	0.717948717948718	0.978776529338327	0.6666666666666666	39
GOLD	local_scale	ENVO:01000843	0.8297872340425532	0.639344262295082	0.9897304236200257	0.7222222222222222	61
GOLD	local_scale	ENVO:01000855	0.3333333333333333	0.1111111111111111	0.9975932611311673	0.16666666666666666	9
GOLD	local_scale	ENVO:01000861	0.3333333333333333	0.25	0.9976076555023924	0.2857142857142857	4
GOLD	local_scale	ENVO:01000869	0.6190476190476191	0.5652173913043478	0.9902080783353733	0.5909090909090909	23
GOLD	local_scale	ENVO:01000886	0.0	0.0	0.9976190476190476	0.0	0
GOLD	local_scale	ENVO:01000887	0.3	1.0	0.991636798088411	0.46153846153846156	3
GOLD	local_scale	ENVO:01000888	0.6857142857142857	0.9230769230769231	0.9864864864864865	0.7868852459016393	26
GOLD	local_scale	ENVO:01000891	0.25	1.0	0.9928400954653938	0.4	2
GOLD	local_scale	ENVO:01000892	0.8571428571428571	0.8571428571428571	0.9987995198079231	0.8571428571428571	7
GOLD	local_scale	ENVO:01000893	0.5	0.2727272727272727	0.9963811821471653	0.35294117647058826	11
GOLD	local_scale	ENVO:01000894	0.3333333333333333	1.0	0.9976162097735399	0.5	1
GOLD	local_scale	ENVO:01000941	1.0	0.5714285714285714	1.0	0.7272727272727273	7
GOLD	local_scale	ENVO:01001041	0.0	0.0	0.9976190476190476	0.0	0
GOLD	local_scale	ENVO:01001057	0.1590909090909091	0.4117647058823529	0.9550425273390036	0.22950819672131148	17
GOLD	local_scale	ENVO:01001206	0.6	1.0	0.997610513739546	0.75	3
GOLD	local_scale	ENVO:01001246	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:01001275	0.16666666666666666	0.25	0.9940191387559809	0.2	4
