parent_term,count,label
ENVO:01001557,1503,water-body-derived ice
ENVO:01000311,1483,cultivated environment
ENVO:2100002,1462,intestine environment
ENVO:01001792,1446,tropical broadleaf forest
ENVO:00000073,1426,building
ENVO:01001703,1373,polar environment
ENVO:01000155,1356,organic material
ENVO:03501134,1320,healthcare facility
ENVO:00002173,1320,hospital
ENVO:01000339,1276,polar biome
ENVO:01001405,1258,laboratory environment
ENVO:00003861,1252,industrial building
ENVO:01000035,1244,oceanic epipelagic zone biome
ENVO:03605007,1225,freshwater stream
ENVO:01000200,1194,tropical broadleaf forest biome
ENVO:01001200,1194,anthropised terrestrial environmental zone
ENVO:00000266,1169,pasture
ENVO:00000033,1134,pond
ENVO:01000204,1129,tropical
ENVO:00000044,1127,peatland
ENVO:00010622,1121,vivarium
ENVO:2000004,1110,algal bloom
ENVO:00000176,1095,elevated landform
ENVO:01000250,1079,subpolar coniferous forest biome
ENVO:00000098,1067,island
BFO:0000030,1065,object
ENVO:01001686,1065,mass of environmental material
ENVO:01003020,1060,fiat part of an astronomical object
ENVO:00000477,1047,mount
ENVO:00002150,1028,coastal sea water
ENVO:00000019,1016,saline lake
ENVO:01000193,996,temperate grassland biome
ENVO:00000081,970,mountain
ENVO:01000772,932,rural area
ENVO:01001794,905,temperate broadleaf forest
ENVO:01001201,893,marine environmental zone
ENVO:03501217,888,tissue paper
ENVO:00003895,888,paper product
ENVO:01001044,887,soil environment
ENVO:00000300,880,scrubland area
ENVO:01001691,880,mass of compounded environmental materials
ENVO:00000296,880,rice field
ENVO:01000221,861,temperate woodland biome
ENVO:01001001,853,plant-associated environment
ENVO:00000130,804,rocky reef
ENVO:00002000,800,slope
ENVO:00000316,776,intertidal zone
ENVO:03000033,768,marine sediment
ENVO:00005801,745,rhizosphere
ENVO:02000019,737,bodily fluid material
ENVO:00000215,719,hydrothermal vent
ENVO:01000029,717,marine reef biome
ENVO:00002124,711,anaerobic bioreactor
ENVO:02000022,669,excreta material
ENVO:00002003,668,fecal material
ENVO:01000687,663,coast
ENVO:00000025,655,reservoir
ENVO:00000377,655,artificial lake
ENVO:00000260,647,prairie
ENVO:01000049,647,marine coral reef biome
ENVO:01000230,643,arid
ENVO:01001567,642,protected area
ENVO:00000358,639,area of protected biodiversity
ENVO:01000739,637,habitat
ENVO:01001169,633,area protected according to IUCN guidelines
ENVO:00000367,633,IUCN national park
ENVO:00000501,630,submerged bed
ENVO:01000548,622,eutrophic lake
ENVO:00005750,618,grassland soil
ENVO:00000057,609,mangrove swamp
ENVO:01001796,609,temperate mixed forest
ENVO:01001020,597,hypersaline lake
ENVO:01001378,583,marine bed
ENVO:00000291,574,drainage basin
ENVO:00000076,564,mine
ENVO:01001678,561,fluid layer
ENVO:00000108,560,meadow ecosystem
ENVO:00002129,559,anaerobic sludge
ENVO:01001370,558,tundra ecosystem
ENVO:00000115,554,orchard
ENVO:01000205,546,subtropical
ENVO:00000449,543,drinking water reservoir
ENVO:01000297,538,freshwater river
ENVO:00002272,538,waste treatment plant
ENVO:00002261,535,forest soil
ENVO:01001804,534,subtropical forest
ENVO:00000856,524,city
ENVO:01000036,511,oceanic mesopelagic zone biome
ENVO:00002196,505,aquarium
ENVO:00000261,505,savanna
ENVO:00000475,485,inlet
ENVO:00000137,485,coastal inlet
ENVO:01000549,464,mass of biological material
ENVO:00002043,464,wastewater treatment plant
ENVO:01000480,462,glass
ENVO:01000325,451,aquatic layer
ENVO:01001273,451,liquid layer
ENVO:01000621,448,microcosm
ENVO:01001800,444,tropical moist broadleaf forest
ENVO:00000892,438,small freshwater lake biome
