term,count,percentage,label
ENVO:01001001,694,0.153,plant-associated environment
ENVO:01000891,676,0.149,area of pastureland or hayfields
ENVO:01000219,662,0.146,anthropogenic terrestrial biome
ENVO:00005740,658,0.145,paddy field soil
ENVO:02000059,635,0.14,surface soil
ENVO:01001050,621,0.137,saline sediment environment
ENVO:00002005,615,0.136,air
ENVO:01001020,615,0.136,hypersaline lake
ENVO:00002126,613,0.135,aerobic bioreactor
ENVO:03000082,611,0.135,thermokarst lake
ENVO:00000208,611,0.135,marine pelagic zone
ENVO:01000162,604,0.133,organ
ENVO:00000303,603,0.133,sea coast
ENVO:01000321,583,0.129,sea water environment
ENVO:00002137,582,0.129,brackish estuary
ENVO:01000049,573,0.127,marine coral reef biome
ENVO:02000022,565,0.125,excreta material
ENVO:01000205,564,0.125,subtropical
ENVO:01000035,557,0.123,oceanic epipelagic zone biome
ENVO:04000007,556,0.123,lake water
ENVO:00000447,554,0.122,marine biome
ENVO:00009001,553,0.122,obsolete plant-associated habitat
ENVO:00000038,549,0.121,lagoon
ENVO:00000167,548,0.121,bar
ENVO:01000211,544,0.12,temperate coniferous forest biome
ENVO:00000890,543,0.12,small river biome
ENVO:01001582,541,0.119,forest floor
ENVO:00000116,538,0.119,vineyard
ENVO:00000064,535,0.118,road
ENVO:00002119,531,0.117,alkaline hot spring
ENVO:00000119,526,0.116,planted forest
ENVO:00000367,514,0.113,IUCN national park
ENVO:00000140,508,0.112,drainage ditch
ENVO:00002033,506,0.112,carcass
ENVO:01001581,504,0.111,sea surface layer
ENVO:01001315,500,0.11,estuarine open water surface layer
ENVO:00000892,490,0.108,small freshwater lake biome
ENVO:00000511,490,0.108,blanket bog
ENVO:00000086,489,0.108,plain
ENVO:03600014,478,0.106,pipeline network
ENVO:00009003,474,0.105,obsolete human-associated habitat
ENVO:01001181,473,0.104,rhizoplane
ENVO:01000768,470,0.104,primary forest
ENVO:01000348,469,0.104,maize field
ENVO:00000213,465,0.103,marine mesopelagic zone
ENVO:01000556,458,0.101,biogas
ENVO:00003064,453,0.1,drinking water
ENVO:00000098,452,0.1,island
