parent_term,count,label
ENVO:00001995,855,rock
ENVO:00000098,832,island
ENVO:01000063,824,planktonic material
ENVO:00002223,763,oligotrophic water
ENVO:01001395,757,necromass
ENVO:00005740,745,paddy field soil
ENVO:02500019,743,obsolete alga
ENVO:00002179,725,intertidal sediment
ENVO:01001181,725,rhizoplane
ENVO:01000431,724,mixed forest
ENVO:01001705,721,temperate environment
ENVO:03605000,706,periphytic biofilm
ENVO:01001206,700,grassland ecosystem
ENVO:03605007,699,freshwater stream
ENVO:01001002,695,animal-associated environment
ENVO:01000317,693,aquatic environment
ENVO:01000174,692,forest biome
ENVO:00000300,692,scrubland area
ENVO:01000739,691,habitat
ENVO:01000964,690,industrial wastewater
ENVO:01000008,681,microbial mat
BFO:0000038,679,one-dimensional temporal region
BFO:0000008,679,temporal region
ENVO:0010003,667,agricultural environmental material
ENVO:01000029,658,marine reef biome
ENVO:03000096,655,season
ENVO:01001831,648,temperate biome
ENVO:01000314,644,high osmolarity environment
ENVO:01001040,644,saline environment
ENVO:01000307,644,saline water environment
ENVO:01000049,641,marine coral reef biome
ENVO:01000321,635,sea water environment
ENVO:01001805,629,temperate forest
ENVO:00002018,623,sewage
ENVO:01000143,615,marine reef
ENVO:03600065,610,spring water
ENVO:01001308,600,hydroform
ENVO:03000034,599,shallow marine sediment
ENVO:01000600,596,rainwater
ENVO:00000019,592,saline lake
ENVO:01001020,592,hypersaline lake
ENVO:01001050,591,saline sediment environment
ENVO:00010506,576,emulsion
ENVO:03605001,570,epilithon
ENVO:02000040,569,mucus material
ENVO:2000045,567,hydrocarbon-based environmental material
ENVO:00000150,566,coral reef
ENVO:01001796,556,temperate mixed forest
ENVO:01000198,556,mixed forest biome
ENVO:01000212,556,temperate mixed forest biome
ENVO:01000854,543,tropical marine coral reef biome
ENVO:01000247,530,rangeland biome
ENVO:01001179,523,cnidarian-associated environment
ENVO:00002008,521,dust
ENVO:00003861,519,industrial building
ENVO:00000078,507,farm
ENVO:00002272,507,waste treatment plant
ENVO:00000003,492,mine tailing
ENVO:01000892,490,area of cropland
ENVO:01000295,487,marine layer
ENVO:06105101,481,plastic
ENVO:00005773,466,pasture soil
ENVO:00002043,464,wastewater treatment plant
ENVO:00000266,454,pasture
ENVO:01000556,453,biogas
ENVO:01000554,453,hydrocarbon gas
ENVO:00000167,452,bar
ENVO:00000033,449,pond
ENVO:01000245,449,cropland biome
ENVO:01001244,449,cropland ecosystem
ENVO:06105266,440,soil layer
ENVO:03501300,439,manure
ENVO:00000209,418,marine photic zone
ENVO:00002982,417,clay
ENVO:01001803,393,tropical forest
ENVO:00005780,390,greenhouse soil
ENVO:00005772,380,orchard soil
ENVO:02000008,373,cell culture
ENVO:00000117,365,plantation
ENVO:00005742,362,arable soil
ENVO:00000501,356,submerged bed
ENVO:04000010,349,soil surface layer
ENVO:00002224,348,eutrophic water
BFO:0000015,348,process
ENVO:02500000,338,environmental system process
ENVO:01001814,333,organic object
ENVO:02000036,331,saliva material
ENVO:00002124,330,anaerobic bioreactor
ENVO:01001405,323,laboratory environment
ENVO:01001200,323,anthropised terrestrial environmental zone
ENVO:01000430,318,broadleaf forest
ENVO:01001018,308,hypereutrophic water
ENVO:01001582,307,forest floor
ENVO:01000417,306,house
ENVO:01000436,306,waterborne particulate matter
ENVO:01000999,299,rhizosphere environment
ENVO:00000520,295,landslide
ENVO:02000050,291,obsolete spinach
ENVO:01001817,285,biomaterial culturing unit
ENVO:00002000,279,slope
ENVO:01001103,274,detritus
ENVO:00000038,274,lagoon
